Gene,sgRNA,OELOW|beta,OELOW|z,OELOW|p-value,OELOW|fdr,OELOW|wald-p-value,OELOW|wald-fdr,OEHIGH|beta,OEHIGH|z,OEHIGH|p-value,OEHIGH|fdr,OEHIGH|wald-p-value,OEHIGH|wald-fdr
NUDT21,8,-1.503,-4.1931,0.00065617,0.015873,2.75E-05,0.00060769,-1.8712,-5.2193,0,0,1.80E-07,7.02E-06
SDHD,8,-1.8744,-6.03,0,0,1.64E-09,8.47E-08,-1.579,-5.1616,0.00032808,0.0078125,2.45E-07,8.99E-06
CDIPT,8,-1.2831,-3.8105,0.0019685,0.0375,0.00013868,0.0025071,-2.05,-6.036,0,0,1.58E-09,1.38E-07
ENTPD7,8,-0.37217,-1.8394,0.28773,0.74196,0.065855,0.23621,-0.18591,-0.92053,0.78839,0.94339,0.3573,0.99611
COX4I1,8,-1.6567,-4.8592,0.00065617,0.015873,1.18E-06,3.49E-05,-1.8039,-5.3179,0,0,1.05E-07,4.57E-06
PAICS,8,-1.7913,-5.1168,0,0,3.11E-07,1.03E-05,-1.4366,-4.2598,0.00065617,0.011905,2.05E-05,0.00042724
MECR,8,-2.5806,-8.196,0,0,2.48E-16,5.05E-14,-2.0228,-6.5348,0,0,6.37E-11,9.71E-09
UGT2B11,8,-0.22813,-1.523,0.47375,0.859,0.12776,0.32841,-0.03524,-0.23576,0.73064,0.91349,0.81362,0.99611
CLCNKB,8,-0.51159,-2.1764,0.16831,0.60829,0.029522,0.15635,-0.21628,-0.93043,0.69521,0.89489,0.35215,0.99611
TET3,8,-0.80481,-3.6474,0.042979,0.34026,0.00026488,0.0044117,-0.20218,-0.92122,0.73589,0.91701,0.35693,0.99611
TERGENIC98529,1,-2.1331,-2.7582,0.17881,0.61835,0.0058115,0.055702,-1.0175,-1.3155,0.21621,0.55033,0.18833,0.85676
ATP6V1C1,8,-1.3254,-3.4918,0.0019685,0.0375,0.00047981,0.0071689,-1.3364,-3.5693,0.00065617,0.011905,0.0003579,0.005623
OXSM,8,-1.8758,-5.3666,0,0,8.02E-08,2.99E-06,-2.0343,-5.8863,0,0,3.95E-09,2.80E-07
ULK1,8,-0.14438,-0.7418,0.60269,0.8961,0.45821,0.6613,-0.069836,-0.35901,0.8458,0.96161,0.71959,0.99611
UQCRH,8,-1.3442,-4.5466,0.0019685,0.0375,5.45E-06,0.00013731,-0.96375,-3.3066,0.0091864,0.083582,0.00094427,0.013705
KCTD14,8,-0.27072,-1.2285,0.41339,0.82299,0.21926,0.44228,-0.17724,-0.80954,0.80906,0.95015,0.41821,0.99611
ATP2A2,8,-3.4987,-8.4013,0,0,4.41E-17,1.49E-14,-3.2382,-8.0112,0,0,1.14E-15,1.73E-12
PYGB,8,-0.062792,-0.26277,0.75984,0.95292,0.79273,0.89029,-0.51045,-2.1347,0.17192,0.50047,0.032788,0.27157
SLC35A5,8,0.1297,0.55655,0.84121,0.97939,0.57783,0.7501,0.079165,0.34009,0.36155,0.69265,0.73379,0.99611
CACNA1S,8,-1.2032,-3.6726,0.0042651,0.074286,0.00024011,0.0040885,-0.95066,-2.9717,0.011155,0.095238,0.0029613,0.038906
FAAH,8,-0.13411,-0.66055,0.62238,0.90247,0.5089,0.6984,-0.1478,-0.72903,0.90354,0.98229,0.46598,0.99611
COX15,8,-1.8693,-5.5842,0,0,2.35E-08,9.80E-07,-1.9734,-5.9369,0,0,2.90E-09,2.16E-07
ALAD,8,-1.0437,-3.7676,0.011811,0.15789,0.00016486,0.0029045,-0.69792,-2.543,0.062008,0.28899,0.01099,0.1185
KDM2B,8,-0.59409,-2.167,0.11516,0.5416,0.030235,0.15834,-0.83253,-3.0408,0.025262,0.17149,0.0023593,0.031819
NDUFS1,8,-0.30974,-1.3984,0.35892,0.79181,0.16199,0.37341,-0.96726,-4.3626,0.0091864,0.083582,1.29E-05,0.00028807
PTGIS,8,-0.55274,-2.3961,0.14042,0.57682,0.016571,0.11367,-0.28765,-1.2506,0.50394,0.79503,0.21108,0.90744
APOC4,8,0.061812,0.51811,0.9872,0.99504,0.60438,0.76981,0.13637,1.1435,0.21818,0.55033,0.25282,0.97744
AQP10,8,-0.82412,-4.5986,0.03937,0.32609,4.25E-06,0.00011474,-0.22535,-1.2658,0.66634,0.88266,0.2056,0.8947
HVCN1,8,0.13332,0.49915,0.83399,0.97657,0.61768,0.78087,-0.50392,-1.8827,0.17749,0.50655,0.059735,0.4274
SOAT1,8,-0.48592,-1.6704,0.18504,0.62806,0.094831,0.28365,-0.20625,-0.71681,0.72244,0.90849,0.47349,0.99611
AQP7,8,-0.38982,-1.5652,0.26936,0.73765,0.11754,0.31524,-0.49358,-1.9879,0.18274,0.50857,0.046821,0.35678
COX5B,8,-1.8182,-7.6878,0,0,1.50E-14,2.17E-12,-0.9037,-3.8799,0.014108,0.11346,0.0001045,0.0018626
B4GALT5,8,0.022878,0.10828,0.93734,0.99138,0.91377,0.95678,-0.25051,-1.1859,0.59646,0.84189,0.23565,0.95132
SLC28A1,8,0.041784,0.17912,0.9731,0.9947,0.85785,0.92425,-0.42726,-1.8307,0.2582,0.59217,0.06714,0.4609
HMBS,8,-1.4429,-5.6783,0.0016404,0.036496,1.36E-08,6.01E-07,-0.58641,-2.3204,0.11549,0.40978,0.02032,0.18929
SLC3A2,8,-0.90267,-3.5215,0.024934,0.25939,0.0004291,0.0064787,-0.63018,-2.4664,0.092192,0.35934,0.01365,0.14199
ATP5D,8,-0.83599,-2.8409,0.036745,0.31638,0.0044983,0.0454,-1.8561,-6.216,0,0,5.10E-10,5.02E-08
FABP1,8,-0.25195,-1.2262,0.43537,0.8325,0.22014,0.4429,-0.27089,-1.3281,0.54757,0.81534,0.18416,0.85176
AGXT,8,-0.27812,-1.2944,0.39961,0.81287,0.19553,0.41853,-0.3206,-1.4931,0.42979,0.74601,0.1354,0.74413
CATSPER2,8,0.13832,0.62604,0.82349,0.97287,0.53129,0.71716,-0.16252,-0.73577,0.85991,0.96401,0.46187,0.99611
DPM1,8,-1.0394,-4.1114,0.012467,0.16034,3.93E-05,0.00083825,-0.25024,-1.0057,0.59744,0.84189,0.31458,0.99611
PDE8B,8,-0.40962,-2.0672,0.25098,0.71295,0.038718,0.18082,-0.11593,-0.58583,0.99902,0.99967,0.55799,0.99611
LIAS,8,-0.75976,-3.5395,0.051837,0.37002,0.00040091,0.0061716,-0.5203,-2.4419,0.16437,0.49027,0.014609,0.14943
FOLR1,8,-0.086328,-0.45468,0.71424,0.93715,0.64934,0.80441,-0.12219,-0.64423,0.97835,0.99466,0.51943,0.99611
NDUFA8,8,-0.68057,-2.9519,0.073163,0.46266,0.0031586,0.034507,-0.99556,-4.3203,0.0072178,0.077966,1.56E-05,0.00033676
KCTD21,8,-0.25661,-0.74843,0.42782,0.82868,0.4542,0.65737,-0.64957,-1.8939,0.084646,0.34584,0.058243,0.41927
ITPKB,8,0.32371,1.4153,0.48064,0.86227,0.15697,0.36691,-0.32679,-1.4239,0.41864,0.738,0.15447,0.80338
LOXL3,8,-0.77768,-3.2771,0.049213,0.36058,0.0010488,0.014144,-0.61871,-2.6198,0.097769,0.37343,0.0087992,0.097527
MPI,8,-2.4519,-5.575,0,0,2.48E-08,1.02E-06,-0.90063,-2.0957,0.014436,0.11458,0.036105,0.29037
ASNSD1,8,-0.11974,-0.68205,0.65125,0.91856,0.49521,0.6894,-0.21867,-1.2514,0.68602,0.89168,0.21079,0.90744
CYB5R4,8,-2.017,-7.6903,0,0,1.47E-14,2.17E-12,-0.66495,-2.6279,0.076772,0.32773,0.0085907,0.095914
GLS,8,-0.1778,-0.66478,0.54659,0.87689,0.50619,0.69608,0.11362,0.42521,0.26936,0.59971,0.67068,0.99611
SLC2A10,8,-0.27726,-1.1917,0.39961,0.81287,0.23337,0.45743,-0.30074,-1.294,0.47572,0.78083,0.19567,0.87126
GNPAT,8,-0.47261,-1.5291,0.19882,0.64744,0.12624,0.32769,-0.66915,-2.169,0.073819,0.31735,0.030086,0.25544
NDUFS7,8,-0.23271,-0.97803,0.46785,0.85322,0.32806,0.54582,-0.95527,-4.0054,0.010499,0.091691,6.19E-05,0.0011651
SLC6A3,8,0.10383,0.57248,0.89698,0.98851,0.567,0.74045,0.014616,0.080671,0.56594,0.82513,0.9357,0.99611
PMP2,8,0.1246,0.56694,0.85302,0.97939,0.57075,0.74401,0.33949,1.5477,0.0075459,0.077966,0.12169,0.69069
ALDH6A1,8,-0.0052865,-0.029664,0.87467,0.98522,0.97634,0.98998,-0.15138,-0.8498,0.89009,0.9752,0.39544,0.99611
ST8SIA5,8,0.018612,0.064589,0.92848,0.99138,0.9485,0.97505,-0.088558,-0.30828,0.90846,0.98229,0.75787,0.99611
P2RX5,8,-0.024357,-0.10597,0.83432,0.97657,0.91561,0.95772,-0.31733,-1.3811,0.43963,0.75621,0.16726,0.82262
CYP24A1,8,-0.28969,-1.7272,0.38451,0.80577,0.084134,0.27113,-0.081502,-0.48953,0.88287,0.97327,0.62447,0.99611
PANK3,8,-0.83886,-3.9214,0.036417,0.31534,8.80E-05,0.001722,0.064426,0.30302,0.40223,0.72459,0.76187,0.99611
FUT4,8,-0.36614,-1.5534,0.29364,0.74916,0.12032,0.31835,-0.51805,-2.1988,0.16535,0.49027,0.027896,0.24293
VHL,8,-1.4118,-4.1007,0.0019685,0.0375,4.12E-05,0.000872,-1.4286,-4.1848,0.00065617,0.011905,2.85E-05,0.00056484
OPA1,8,-1.0367,-3.5998,0.012467,0.16034,0.00031852,0.0050948,-1.5355,-5.3071,0.00032808,0.0078125,1.11E-07,4.71E-06
CHST15,8,-0.60218,-2.4891,0.11089,0.53822,0.012808,0.097568,-0.25021,-1.0399,0.59744,0.84189,0.29837,0.99611
BPNT1,8,-0.10116,-0.46869,0.6834,0.92797,0.63929,0.79564,-0.37716,-1.7493,0.33104,0.6634,0.080247,0.52263
PLCH2,8,0.0023148,0.014785,0.89239,0.98851,0.9882,0.99572,-0.19445,-1.2422,0.75951,0.92935,0.21415,0.91554
OGDH,8,-0.94034,-2.638,0.021982,0.24188,0.0083402,0.072459,-1.6044,-4.4682,0.00032808,0.0078125,7.89E-06,0.00018077
CACNA2D2,8,-0.22173,-1.1623,0.48327,0.86393,0.24513,0.46991,-0.05931,-0.31153,0.8107,0.95015,0.7554,0.99611
CRLS1,8,-1.4378,-4.078,0.0016404,0.036496,4.54E-05,0.00095488,-1.7962,-5.094,0,0,3.51E-07,1.21E-05
CRP,8,0.24667,0.62579,0.6063,0.8967,0.53145,0.71716,-0.48731,-1.2349,0.19193,0.52089,0.21686,0.91931
KDM2A,8,0.089186,0.29054,0.92815,0.99138,0.7714,0.8797,-0.54844,-1.7857,0.14501,0.46624,0.074144,0.49428
ADCY4,8,-0.16176,-0.65584,0.57513,0.88419,0.51193,0.7016,-0.17423,-0.70983,0.81923,0.95342,0.47781,0.99611
GFER,8,-1.5984,-4.737,0.00065617,0.015873,2.17E-06,6.24E-05,-2.0777,-6.1355,0,0,8.49E-10,8.09E-08
PKLR,8,-0.25234,-1.9885,0.43504,0.83239,0.046758,0.19812,-0.16999,-1.34,0.83301,0.95811,0.18025,0.84854
FUT11,8,-0.17212,-0.83006,0.55774,0.87963,0.40651,0.61521,-0.26775,-1.2917,0.55413,0.8188,0.19645,0.87285
HS3ST3A1,8,-0.48074,-1.867,0.19029,0.63181,0.061902,0.22815,-0.48769,-1.8957,0.1916,0.5205,0.057995,0.41889
GLUL,8,0.033158,0.16273,0.95571,0.99425,0.87073,0.93059,-0.20473,-1.0054,0.72638,0.91036,0.31469,0.99611
SLC44A4,8,0.1724,1.1981,0.75328,0.94915,0.23088,0.4549,0.16466,1.1449,0.15682,0.48528,0.25224,0.97744
SLC39A4,8,-0.25981,-1.1017,0.4252,0.82868,0.27059,0.49268,-0.57783,-2.4506,0.12205,0.42273,0.014263,0.14687
ACO2,8,-1.5561,-4.984,0.00065617,0.015873,6.23E-07,1.98E-05,-1.6511,-5.3325,0,0,9.69E-08,4.28E-06
TERGENIC36225,1,-0.71369,-1.5836,0.53609,0.87574,0.11328,0.31105,-0.097332,-0.21596,0.77756,0.93973,0.82902,0.99611
PFAS,8,-2.3074,-6.0365,0,0,1.58E-09,8.28E-08,-2.5881,-6.7859,0,0,1.15E-11,2.51E-09
SLC23A3,8,-0.4806,-1.8597,0.19029,0.63181,0.06293,0.22944,-0.44576,-1.7294,0.23524,0.56905,0.083742,0.53511
ATG7,8,-0.24122,-1.4112,0.45472,0.8493,0.1582,0.36851,0.076235,0.44647,0.37008,0.69716,0.65526,0.99611
ATP6AP1,8,-1.7391,-4.4972,0,0,6.88E-06,0.00017059,-1.2351,-3.3584,0.00098425,0.016949,0.00078382,0.011769
ATP5J,8,-0.17667,-0.76185,0.54888,0.87689,0.44615,0.65066,-0.5379,-2.3195,0.1542,0.48255,0.02037,0.18929
TXNIP,8,-0.15672,-0.83491,0.58136,0.88911,0.40377,0.61406,-0.024566,-0.13165,0.69324,0.89489,0.89526,0.99611
NDUFA4,8,-0.76697,-3.8182,0.049869,0.36105,0.00013442,0.0024534,-0.44081,-2.2115,0.23983,0.5765,0.027004,0.23652
SLC2A6,8,0.2568,1.1264,0.59055,0.89109,0.25998,0.48282,-0.066999,-0.29396,0.83366,0.95851,0.76879,0.99611
GRIA2,8,-0.66043,-3.4713,0.081365,0.48249,0.00051795,0.0076637,0.041799,0.22194,0.48064,0.78449,0.82436,0.99611
GGT1,8,-0.076362,-0.34487,0.73556,0.94639,0.73019,0.85252,-0.075957,-0.34345,0.86385,0.96624,0.73126,0.99611
MGAT3,8,-0.25489,-1.0565,0.42979,0.82964,0.29075,0.51381,-0.43894,-1.8198,0.24311,0.58072,0.068796,0.46806
COX7A1,8,-0.0040479,-0.019178,0.8773,0.98672,0.9847,0.9935,-0.053717,-0.25472,0.79134,0.94339,0.79894,0.99611
KCNN2,8,-0.11351,-0.66524,0.66371,0.9204,0.5059,0.69608,0.019569,0.1148,0.54659,0.81534,0.90861,0.99611
GRXCR2,8,0.33269,1.4331,0.46719,0.85322,0.15184,0.35987,0.068313,0.29433,0.3914,0.71429,0.7685,0.99611
ALAS1,8,-0.77743,-2.9011,0.049213,0.36058,0.0037188,0.038686,-0.68788,-2.5727,0.067585,0.30029,0.010092,0.11023
DPYSL5,8,-0.19764,-0.79313,0.51706,0.87164,0.4277,0.63499,-0.13337,-0.53573,0.9439,0.99036,0.59215,0.99611
CYP1A1,8,0.049546,0.294,0.98753,0.99504,0.76876,0.87825,0.11678,0.69528,0.26181,0.59259,0.48688,0.99611
SLC41A1,8,-0.67473,-2.2761,0.076772,0.47465,0.022842,0.1348,-0.77222,-2.617,0.040026,0.22804,0.0088718,0.097976
MINA,8,-0.30649,-1.336,0.36188,0.79181,0.18154,0.39991,-0.35719,-1.5584,0.36385,0.69399,0.11913,0.68255
ADSL,8,-1.6691,-4.5812,0.00032808,0.0096154,4.62E-06,0.00012074,-2.0964,-5.7351,0,0,9.74E-09,6.04E-07
TERGENIC42167,1,-2.6985,-3.9628,0.12697,0.55587,7.41E-05,0.0014856,-0.15275,-0.22418,0.70308,0.89711,0.82262,0.99611
TKT,8,-1.5273,-5.3663,0.00065617,0.015873,8.04E-08,2.99E-06,-1.7834,-6.276,0,0,3.47E-10,3.65E-08
SLCO4A1,8,-0.1612,-1.0707,0.57546,0.88419,0.28431,0.50676,-0.058418,-0.38836,0.80906,0.95015,0.69775,0.99611
HSD17B12,8,-0.54453,-1.8655,0.14665,0.58052,0.062112,0.22823,-1.0221,-3.4975,0.0062336,0.071698,0.00046967,0.0072668
NDUFS5,8,-0.58173,-1.9893,0.1227,0.55244,0.046664,0.19812,-0.94712,-3.2381,0.011483,0.096419,0.0012033,0.016981
CHRND,8,-0.26433,-1.2185,0.41962,0.82569,0.22304,0.44696,-0.13378,-0.61798,0.94324,0.99036,0.53659,0.99611
SLC35C2,8,0.089752,0.52747,0.92782,0.99138,0.59786,0.7647,0.15476,0.91024,0.17749,0.50655,0.3627,0.99611
PLCD4,8,-0.48783,-2.2734,0.18241,0.62472,0.023003,0.13509,-0.021512,-0.10064,0.68012,0.89093,0.91984,0.99611
NDUFB3,8,-0.041914,-0.16606,0.80085,0.95989,0.86811,0.92998,-0.49744,-1.9668,0.1811,0.50857,0.049209,0.37035
PLA2G6,8,-0.55105,-2.1537,0.1414,0.57775,0.031263,0.16115,-0.27731,-1.0979,0.53248,0.81114,0.27226,0.98689
HSD3B2,8,-0.22426,-1.1367,0.47802,0.86111,0.25567,0.47839,-0.32348,-1.645,0.42487,0.74383,0.099968,0.61309
SPR,8,-0.25258,-1.2042,0.43471,0.83239,0.22851,0.45325,-0.3402,-1.6246,0.39862,0.71979,0.10426,0.62926
PIGO,8,-0.41464,-1.7218,0.24409,0.70822,0.085108,0.27249,-0.1278,-0.53342,0.95768,0.99224,0.59374,0.99611
RYR3,8,0.33919,1.0474,0.45801,0.85088,0.29489,0.51657,-0.64132,-1.9639,0.085958,0.3484,0.049544,0.3704
ENGASE,8,-0.042434,-0.16296,0.79954,0.95989,0.87055,0.93059,-0.087342,-0.33659,0.90486,0.98229,0.73643,0.99611
PLCD1,8,-0.49796,-1.8544,0.17454,0.6122,0.063686,0.23113,-0.53662,-2.0087,0.1542,0.48255,0.044568,0.34478
DPM3,8,-0.078627,-0.2497,0.73163,0.94374,0.80282,0.89812,-0.83823,-2.6575,0.024606,0.1693,0.0078715,0.090197
MGLL,8,-0.8914,-3.2644,0.026903,0.27333,0.0010971,0.014666,-0.50445,-1.8933,0.17684,0.50563,0.058324,0.41927
SLC28A2,8,0.45241,1.5122,0.29626,0.75,0.13048,0.33224,0.035438,0.11842,0.49967,0.79282,0.90573,0.99611
GMPR2,8,-0.59176,-3.1125,0.11614,0.5416,0.0018551,0.022709,-0.24866,-1.3137,0.60105,0.84346,0.18894,0.85782
ALG1,8,-0.3686,-1.0361,0.29134,0.74622,0.30018,0.52015,-1.547,-4.321,0.00032808,0.0078125,1.55E-05,0.00033676
SLC39A7,8,-0.56347,-1.7947,0.13255,0.56503,0.072698,0.24981,-1.2064,-3.8266,0.0013123,0.020408,0.00012991,0.0022371
MRCH2,8,-0.27672,-1.6994,0.40026,0.81287,0.089246,0.27663,-0.042429,-0.26083,0.75427,0.92776,0.79422,0.99611
SLC25A39,8,-0.22711,-1.2096,0.47474,0.859,0.22641,0.45076,-0.45041,-2.3997,0.22835,0.55949,0.01641,0.16239
AMPD2,8,-0.30106,-2.1537,0.36811,0.79181,0.031268,0.16115,-0.11993,-0.85889,0.98655,0.99504,0.3904,0.99611
GABRG3,8,0.038075,0.18229,0.9649,0.99425,0.85535,0.92248,-0.12796,-0.61399,0.95735,0.99224,0.53922,0.99611
ASMT,8,0.26159,1.657,0.58169,0.88911,0.097527,0.28864,0.17043,1.0799,0.14731,0.47089,0.28018,0.99151
HS6ST3,8,0.38566,1.8853,0.38058,0.80221,0.059394,0.22433,0.11628,0.56854,0.26247,0.59259,0.56967,0.99611
SCO2,8,-1.9179,-5.8804,0,0,4.09E-09,1.92E-07,-1.6009,-5.0462,0.00032808,0.0078125,4.51E-07,1.50E-05
PNPLA7,8,-0.48537,-1.9914,0.1857,0.62959,0.046435,0.19812,-0.52924,-2.1769,0.15846,0.48651,0.029489,0.25177
ATP9A,8,0.12038,0.69325,0.86024,0.98092,0.48815,0.68465,0.041012,0.23625,0.48392,0.78647,0.81324,0.99611
SLC4A5,8,-0.86921,-3.4116,0.030184,0.2866,0.0006458,0.0092413,-0.43537,-1.7245,0.24705,0.58147,0.084618,0.53845
TERGENIC106846,1,-0.81039,-1.8716,0.48917,0.86583,0.061267,0.2273,-0.1057,-0.24411,0.76706,0.93445,0.80715,0.99611
UEVLD,8,0.14988,0.72699,0.79856,0.95989,0.46723,0.66892,-0.077109,-0.37423,0.86811,0.96852,0.70823,0.99611
KCNA3,8,-0.98409,-4.549,0.017717,0.20769,5.39E-06,0.00013693,-0.37571,-1.7544,0.33333,0.66342,0.079358,0.51795
ATP8A2,8,-0.28014,-1.5141,0.39698,0.81287,0.13001,0.33161,-0.0029294,-0.015984,0.62238,0.86018,0.98725,0.99611
GPAM,8,0.046963,0.18662,0.98261,0.9947,0.85196,0.92076,-0.0091148,-0.036412,0.64108,0.86696,0.97095,0.99611
SLC35E2,8,-0.34658,-1.5243,0.31627,0.7663,0.12743,0.32806,-0.19392,-0.8549,0.76148,0.93026,0.39261,0.99611
SLC25A33,8,0.062705,0.28689,0.98491,0.9947,0.7742,0.88048,-0.07654,-0.35065,0.86581,0.96773,0.72585,0.99611
SLC43A2,8,-0.51393,-2.1646,0.16667,0.60829,0.030416,0.15875,-0.32956,-1.3912,0.41404,0.73605,0.16415,0.82073
TRPC3,8,-0.057569,-0.3632,0.77034,0.95292,0.71645,0.84413,-0.12099,-0.76379,0.9836,0.99504,0.44499,0.99611
IPMK,8,-0.51467,-2.3448,0.16568,0.60697,0.019035,0.12341,-0.23254,-1.066,0.6414,0.86696,0.28643,0.99371
MPC1,8,0.48258,1.5932,0.25722,0.72325,0.11111,0.30732,0.36465,1.2057,0.0029528,0.0375,0.22794,0.93737
GANAB,8,-0.53485,-2.5794,0.1519,0.58386,0.009896,0.081743,-0.43371,-2.1037,0.25098,0.58621,0.035406,0.28758
MTTP,8,0.2612,1.3121,0.58333,0.88911,0.18948,0.40875,0.1835,0.92243,0.12172,0.42255,0.3563,0.99611
GCNT1,8,-0.12554,-0.48163,0.63976,0.9127,0.63007,0.78968,-0.25492,-0.98029,0.58596,0.83419,0.32695,0.99611
ATP2B4,8,0.12926,0.61203,0.84252,0.97939,0.54052,0.72418,-0.09073,-0.42983,0.91437,0.98238,0.66732,0.99611
LSR,8,-0.69111,-2.426,0.068241,0.43697,0.015267,0.10872,-0.52121,-1.8458,0.16306,0.49027,0.064922,0.45076
NPR1,8,-0.54561,-1.6802,0.14633,0.58052,0.092912,0.28123,-0.71187,-2.1952,0.055774,0.27642,0.028148,0.24443
SCN3A,8,-0.14728,-0.77627,0.59875,0.89427,0.43759,0.6441,0.11296,0.59651,0.27198,0.60423,0.55083,0.99611
C14orf169,8,-0.76752,-4.5696,0.049869,0.36105,4.89E-06,0.00012519,0.01435,0.085725,0.5666,0.82513,0.93168,0.99611
DAD1,8,-0.92444,-2.8607,0.023294,0.24912,0.0042265,0.043085,-1.6461,-5.0478,0,0,4.47E-07,1.50E-05
ACVR1C,8,0.70785,3.0064,0.093504,0.51146,0.0026439,0.030126,0.24768,1.0515,0.041995,0.234,0.29302,0.99611
UQCRB,8,-0.95676,-3.0548,0.020669,0.23077,0.0022523,0.026609,-0.71419,-2.3304,0.05479,0.27332,0.019785,0.1867
GRIK4,8,-0.11218,-0.43734,0.66568,0.9204,0.66186,0.81076,-0.4889,-1.9058,0.18963,0.51699,0.056681,0.41036
FCER1A,8,-0.43249,-2.1396,0.23163,0.69352,0.032386,0.16343,-0.41326,-2.0471,0.27461,0.6074,0.040648,0.32014
STARD8,8,-0.38239,-1.4002,0.27592,0.74153,0.16145,0.3731,-0.53447,-1.9615,0.15551,0.48516,0.049824,0.3704
DPM2,8,-0.60737,-2.2305,0.10761,0.53333,0.025712,0.14513,-0.6288,-2.3183,0.093176,0.36178,0.020433,0.1893
PIGK,8,-0.061346,-0.34154,0.76214,0.95292,0.7327,0.85453,-0.11856,-0.66242,0.99016,0.99637,0.50771,0.99611
AMY2A,10,-0.48516,-2.0393,0.1355,0.57044,0.041424,0.18789,-0.50617,-2.1409,0.13386,0.44348,0.032284,0.27034
SLC25A26,8,-1.0111,-3.0207,0.014764,0.17857,0.002522,0.029229,-1.4379,-4.2827,0.00065617,0.011905,1.85E-05,0.00039352
COQ4,8,-0.24537,-0.74141,0.44849,0.84539,0.45844,0.6613,-1.5002,-4.4918,0.00065617,0.011905,7.06E-06,0.00016559
P2RX4,8,-0.79895,-4.5835,0.044291,0.34439,4.57E-06,0.00012074,-0.26371,-1.5219,0.56332,0.8239,0.12805,0.71481
SMPDL3B,8,0.38664,1.5778,0.37927,0.80166,0.11462,0.31272,-0.14704,-0.59932,0.90682,0.98229,0.54896,0.99611
PRODH,8,-0.95219,-3.4017,0.020669,0.23077,0.00066967,0.0095381,-0.73414,-2.6449,0.050197,0.25976,0.0081714,0.092647
ATP6V1H,8,-0.57454,-1.8543,0.12697,0.55587,0.063698,0.23113,-0.61023,-1.9751,0.10203,0.3849,0.048259,0.36409
BAAT,8,0.58484,2.1261,0.16437,0.60434,0.033497,0.16628,-0.058972,-0.21419,0.81037,0.95015,0.8304,0.99611
KCNJ14,8,0.16532,1.1458,0.77165,0.95292,0.25186,0.47489,-0.038211,-0.26496,0.74049,0.91935,0.79104,0.99611
STARD4,8,0.099726,0.62606,0.90322,0.98851,0.53128,0.71716,0.0493,0.30972,0.45407,0.76435,0.75677,0.99611
NDUFB11,8,-0.94984,-2.8744,0.020997,0.23358,0.0040483,0.041407,-1.2191,-3.6962,0.00098425,0.016949,0.00021885,0.0035671
AK5,8,-0.33704,-1.6232,0.32743,0.77409,0.10456,0.29673,0.13617,0.66788,0.2185,0.55033,0.50421,0.99611
GPX4,8,-1.1195,-3.6614,0.0059055,0.092784,0.00025083,0.004224,-1.3118,-4.3013,0.00065617,0.011905,1.70E-05,0.00036446
NDUFA3,8,-0.2051,-0.79016,0.50459,0.86991,0.42943,0.63663,-0.60343,-2.324,0.10466,0.38902,0.020127,0.18929
ATP5H,8,-0.27716,-1.2845,0.39961,0.81287,0.19895,0.42331,-0.62968,-2.9183,0.092192,0.35934,0.0035193,0.045646
MOGAT2,8,0.17486,0.89653,0.74869,0.94807,0.36997,0.58459,-0.13699,-0.70244,0.9334,0.98682,0.4824,0.99611
B4GALT6,8,0.12983,0.65912,0.84055,0.97939,0.50982,0.69902,0.14772,0.75301,0.19521,0.52469,0.45144,0.99611
GMPS,8,-1.751,-5.2688,0,0,1.37E-07,4.92E-06,-1.7181,-5.2566,0,0,1.47E-07,5.89E-06
ABCG5,8,-0.38081,-1.4661,0.27789,0.74153,0.14262,0.34945,-0.42366,-1.6356,0.26247,0.59259,0.10192,0.62131
CACNA1A,8,-0.42776,-2.316,0.23524,0.69544,0.020556,0.12897,-0.39341,-2.1351,0.30151,0.64042,0.032751,0.27157
PDE10A,8,-0.52487,-2.3655,0.15879,0.59387,0.018008,0.11906,0.076346,0.34778,0.37008,0.69716,0.728,0.99611
NDUFAB1,8,-1.7139,-5.7302,0,0,1.00E-08,4.50E-07,-1.2987,-4.4161,0.00065617,0.011905,1.01E-05,0.00022695
ENPP7,8,0.14079,0.61724,0.81594,0.9677,0.53707,0.72115,0.013231,0.058011,0.57021,0.82841,0.95374,0.99611
PLD5,8,0.10134,0.3612,0.90125,0.98851,0.71795,0.84523,0.083308,0.29732,0.34646,0.67823,0.76622,0.99611
SLC22A14,8,-0.91149,-3.8384,0.024278,0.25606,0.00012384,0.0023017,-0.62001,-2.6254,0.097769,0.37343,0.008656,0.09629
PIGV,8,-0.060239,-0.2544,0.76444,0.95292,0.79919,0.89556,-0.36424,-1.5391,0.35335,0.68338,0.12379,0.70003
HTR3E,8,-0.53538,-2.5883,0.1519,0.58386,0.009646,0.080331,-0.16377,-0.79736,0.85597,0.96273,0.42524,0.99611
SLC16A10,8,-0.1316,-0.69617,0.62697,0.90672,0.48632,0.68341,-0.1204,-0.63844,0.98524,0.99504,0.52319,0.99611
DHFRL1,8,-0.52118,-1.7485,0.16109,0.59805,0.080383,0.26777,-0.85748,-2.8785,0.021325,0.1533,0.0039956,0.050325
SLC4A1AP,8,-0.059561,-0.29772,0.76673,0.95292,0.76591,0.87632,-0.49221,-2.4588,0.18471,0.50857,0.013938,0.1442
